day,theme,asset_type,category,name,hook,post,cta,install_command
16,Skill,integration,Analytics,google-search-console,Stop making your agent guess how Google Search Console works.,"The `google-search-console` integration guide gives agents a standalone reference for analytics platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/google-search-console.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
17,Integration,integration,Forms,apollo,Stop making your agent guess how Apollo works.,"The `apollo` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP -, CLI ✓, and SDK - coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/apollo.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
18,CLI,integration,Forms,zoominfo,Stop making your agent guess how Zoominfo works.,"The `zoominfo` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP ✓, CLI ✓, and SDK - coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/zoominfo.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
19,Workflow,integration,Email,hunter,Stop making your agent guess how Hunter works.,"The `hunter` integration guide gives agents a standalone reference for email platform reference with API ✓, MCP -, CLI ✓, and SDK - coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/hunter.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
20,Founder,integration,Forms,clay,Stop making your agent guess how Clay works.,"The `clay` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP ✓, CLI ✓, and SDK - coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/clay.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
21,Recap,integration,CRM,activecampaign,Stop making your agent guess how Activecampaign works.,"The `activecampaign` integration guide gives agents a standalone reference for crm platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/activecampaign.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
22,Launch,integration,Analytics,klaviyo,Stop making your agent guess how Klaviyo works.,"The `klaviyo` integration guide gives agents a standalone reference for analytics platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/klaviyo.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
23,Skill,integration,Analytics,salesforce,Stop making your agent guess how Salesforce works.,"The `salesforce` integration guide gives agents a standalone reference for analytics platform reference with API ✓, MCP -, CLI ✓, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/salesforce.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
24,Integration,integration,CRM,pipedrive,Stop making your agent guess how Pipedrive works.,"The `pipedrive` integration guide gives agents a standalone reference for crm platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/pipedrive.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
25,CLI,integration,Forms,slack,Stop making your agent guess how Slack works.,"The `slack` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/slack.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
26,Workflow,integration,Operations,notion,Stop making your agent guess how Notion works.,"The `notion` integration guide gives agents a standalone reference for operations platform reference with API ✓, MCP ✓, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/notion.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
27,Founder,integration,CRM,airtable,Stop making your agent guess how Airtable works.,"The `airtable` integration guide gives agents a standalone reference for crm platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/airtable.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
28,Recap,integration,Forms,zapier,Stop making your agent guess how Zapier works.,"The `zapier` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/zapier.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
29,Launch,integration,Forms,make,Stop making your agent guess how Make works.,"The `make` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP -, CLI -, and SDK - coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/make.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
30,Skill,integration,Forms,n8n,Stop making your agent guess how N8n works.,"The `n8n` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP -, CLI ✓, and SDK - coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/n8n.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
